        0.015625               4        0.018595   1015.02382361
         0.03125               4        0.016753   1126.62615651
         0.03125               8        0.018638   1012.68204743
          0.0625               4        0.014811   1274.34798461
          0.0625               8        0.016059   1175.31402952
          0.0625              16        0.018592   1015.18760757
           0.125               4        0.014154   1333.50063586
           0.125               8        0.014792   1275.98485668
           0.125              16        0.016056   1175.53363229
           0.125              32        0.018587   1015.46069834
            0.25               4        0.013839   1363.85345762
            0.25               8        0.014152   1333.68908988
            0.25              16        0.014788    1276.3299973
            0.25              32        0.016053   1175.75331714
            0.25              64        0.020232   932.896797153
             0.5               4        0.014635   1289.67324906
             0.5               8        0.013835   1364.24777738
             0.5              16        0.014157   1333.21805467
             0.5              32        0.014787   1276.41631163
             0.5              64        0.018028   1046.94741513
             0.5             128        0.019749   955.712593043
               1               4        0.014099   1338.70260302
               1               8        0.014633   1289.84951821
               1              16        0.013834   1364.34639294
               1              32        0.014151   1333.78333687
               1              64        0.017887   1055.20031308
               1             128        0.017988   1049.27551701
               2               4        0.013809   1366.81642407
               2               8          0.0141   1338.60765957
               2              16        0.014627   1290.37861489
               2              32        0.013838   1363.95201619
               2              64         0.01768   1067.55475113
               2             128        0.017855   1057.09145898
               4               4        0.013666   1381.11868872
               4               8        0.013809   1366.81642407
               4              16        0.014099   1338.70260302
               4              32        0.014628   1290.29040197
               4              64        0.016968   1112.35077793
               4             128        0.017669   1068.21936725
               8               4        0.013591   1388.74019572
               8               8        0.013663   1381.42194247
               8              16        0.013809   1366.81642407
               8              32        0.014101   1338.51272959
               8              64         0.01649   1144.59478472
               8             128        0.016961   1112.80985791
              16               4        0.013556   1392.32575981
              16               8        0.013589   1388.94458753
              16              16        0.013664   1381.32084309
              16              32         0.01381   1366.71745112
              16              64        0.017164   1099.64856677
              16             128        0.016502   1143.76245304
              32               4        0.013537   1394.27997341
              32               8        0.013567   1391.19687477
              32              16        0.013661   1381.62418564
              32              32        0.013768   1370.88669378
              32              64        0.017458   1081.13002635
              32             128        0.017536   1076.32116788
              64               4        0.013557    1392.2230582
              64               8        0.015007   1257.70427134
              64              16        0.018916   997.799111863
              64              32        0.027076   697.088491653
              64              64         0.05106   369.650763807
              64             128        0.046542   405.534098234
             128               4        0.013557    1392.2230582
             128               8        0.015002   1258.12345021
             128              16         0.01886   1000.76182397
             128              32        0.027022   698.481533565
             128              64        0.049734   379.506333695
             128             128        0.045998   410.330188269
             256               4        0.013561   1391.81240322
             256               8        0.014993   1258.87867672
             256              16        0.018795   1004.22282522
             256              32        0.027043   697.939133972
             256              64        0.049751   379.376655746
             256             128        0.045898   411.224192775
             512               4        0.013554    1392.5312085
             512               8        0.014997   1258.54290858
             512              16        0.018846    1001.5052531
             512              32        0.027019   698.559088049
             512              64        0.049714   379.659009535
             512             128        0.045967   410.606913655
            1024               4        0.013559   1392.01770042
            1024               8        0.014995   1258.71077026
            1024              16        0.018844   1001.61154744
            1024              32        0.027026    698.37815437
            1024              64        0.049679   379.926488053
            1024             128         0.04608           409.6
            2048               4        0.013916   1356.30698477
            2048               8        0.015425   1223.62191248
            2048              16        0.019333   976.277246159
            2048              32        0.027219   693.426209633
            2048              64        0.050378   374.654968439
            2048             128        0.045493   414.885103203
            4096               4        0.014002   1347.97657478
            4096               8        0.015371   1227.92062976
            4096              16        0.019285   978.707181747
            4096              32        0.027275   692.002493126
            4096              64        0.050467   373.994253671
            4096             128        0.045815   411.969180399
            8192               4         0.02736   689.852631579
            8192               8        0.050785   371.652417052
            8192              16        0.101018   186.841632184
            8192              32        0.197046   95.7866082032
            8192              64        0.372923   50.6119708358
            8192             128        0.413682   45.6253063948
           16384               4        0.025597   655.436809001
           16384               8        0.056557   333.722934385
           16384              16        0.109263   172.742538645
           16384              32        0.212867   88.6674214416
           16384              64        0.408639   46.1883667491
           16384             128        0.470694   40.0990197453
